Gender,Age,Education,Occupation,State,Relationship_Status,Obligation_Rating,Obligation_Category,NEP,Vacation_Behaviour,Rest_And_Relax,Luxury_Be_Spoilt,Do_Sports,Excitement_A_Challenge,Not_Exceed_Planned_Budget,Realise_Creativity,Fun_And_Entertainment,Good_Company,Health_and_Beauty,Free_And_Easy_Going,Entertainment_Facilities,Not_Care_About_Prices,Life_style_of_The _Local_People,Intense_Experience_of_Nature,Cosiness_Familiar_Atmosphere,Maintain_Unspoilt_Surroundings,Everything_Organised,Unspoilt_Nature_Natural_Landscape,Cultural_Offers,Change_Of_Surroundings,Income_Doller_K,Expenditure_Doller_K
Female,25,6,Clerical or service worker,VIC,single,4.80,Q4,3.20,2.07,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,15,39
Female,31,8,professional,WA,married,3.30,Q1,3.40,2.00,yes,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,15,81
Male,21,3,,NSW,single,3.40,Q2,3.07,1.23,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,yes,no,16,6
Female,18,2,unemployed,NSW,single,2.63,Q1,3.40,2.17,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,16,77
Male,61,3,retired,WA,married,3.40,Q2,3.73,1.72,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,17,40
Female,63,7,retired,QLD,married,4.40,Q4,4.27,3.30,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,17,76
Male,58,2,retired,Tas,separated or divorced,3.43,Q2,3.27,3.67,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,yes,18,6
Male,41,8,manager or administrator,VIC,living with a partner,4.27,Q4,4.27,3.24,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,yes,18,94
Female,36,8,manager or administrator,NSW,separated or divorced,3.70,Q2,2.93,2.74,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,yes,19,3
Female,56,2,retired,NSW,married,4.17,Q3,3.60,2.75,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,19,72
Male,30,8,professional,VIC,living with a partner,4.13,Q3,3.60,2.93,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,19,14
Male,40,6,manager or administrator,NSW,living with a partner,4.33,Q4,3.93,3.17,yes,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,yes,no,no,no,yes,19,99
Female,75,4,retired,SA,widowed,4.07,Q3,4.07,3.47,yes,yes,no,no,yes,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,20,15
Female,50,7,unemployed,NSW,separated or divorced,4.67,Q4,4.20,3.71,yes,yes,no,no,yes,no,no,no,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,20,77
Male,62,3,sales,WA,married,4.13,Q3,3.93,3.07,yes,yes,no,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,yes,20,13
Male,33,3,professional,WA,separated or divorced,3.63,Q2,4.13,2.00,yes,no,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,20,79
Female,55,1,sales,VIC,married,3.30,Q1,4.13,3.50,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,21,35
Male,51,8,professional,NSW,single,3.93,Q3,4.20,3.46,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,21,66
Male,69,7,professional,VIC,married,4.07,Q3,3.67,2.59,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,23,29
Male,23,6,unemployed,QLD,single,3.87,Q3,3.13,3.73,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,23,98
Male,42,6,tradesperson,NSW,married,3.63,Q2,3.60,1.97,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,24,35
Female,35,7,manager or administrator,VIC,living with a partner,3.80,Q2,4.67,2.97,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,yes,no,yes,24,73
Male,33,7,manager or administrator,VIC,single,4.60,Q4,4.13,4.00,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,25,5
Female,37,1,professional,VIC,living with a partner,4.50,Q4,3.40,2.83,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,25,73
Male,57,6,professional,SA,married,4.43,Q4,4.27,2.65,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,yes,yes,no,28,14
Male,45,6,manager or administrator,NSW,married,3.07,Q1,2.93,2.30,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,28,82
Female,26,7,professional,VIC,living with a partner,4.37,Q4,3.40,3.44,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,28,32
Male,42,7,manager or administrator,VIC,married,3.33,Q1,4.20,1.80,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,28,61
Male,27,7,professional,VIC,single,3.67,Q2,3.60,2.28,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,29,31
Male,43,8,professional,WA,married,3.77,Q2,3.47,3.14,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,29,87
Male,41,7,manager or administrator,QLD,married,3.70,Q2,3.07,2.53,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,no,yes,30,4
Female,37,7,manager or administrator,VIC,married,4.03,Q3,4.27,2.93,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,yes,no,yes,30,73
Male,38,7,manager or administrator,NSW,married,2.93,Q1,3.20,2.37,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,yes,33,4
Female,39,8,professional,NSW,single,3.60,Q2,3.67,3.37,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,33,92
Male,22,3,Clerical or service worker,ACT,single,4.63,Q4,4.40,3.87,yes,no,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,33,14
Male,48,8,small business owner,QLD,married,3.30,Q1,2.93,2.10,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,33,81
Male,56,8,manager or administrator,NSW,married,3.17,Q1,3.13,2.23,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,yes,34,17
Male,70,8,professional,NSW,living with a partner,4.00,Q3,3.13,2.88,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,34,73
Male,25,4,manager or administrator,NSW,single,2.27,Q1,3.07,2.38,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,37,26
Male,58,4,small business owner,NSW,married,3.23,Q1,2.87,3.00,yes,yes,yes,no,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes,37,75
Female,27,8,,NSW,living with a partner,3.93,Q3,3.53,2.35,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,38,35
Female,25,6,professional,NSW,living with a partner,3.77,Q2,4.20,3.71,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,yes,yes,38,92
Male,38,3,manager or administrator,QLD,living with a partner,3.73,Q2,3.93,2.25,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,39,36
Female,37,7,manager or administrator,SA,living with a partner,3.40,Q2,3.60,1.77,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,39,61
Male,18,7,,QLD,single,3.97,Q3,3.73,3.16,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,39,28
Male,35,7,professional,NSW,living with a partner,3.83,Q3,3.60,2.77,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,39,65
Female,36,7,home-duties,NSW,married,3.87,Q3,4.53,3.57,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,yes,no,yes,yes,yes,40,55
Female,34,4,Clerical or service worker,SA,married,3.20,Q1,3.20,2.32,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,40,47
Female,45,7,professional,NSW,married,3.43,Q2,3.47,2.50,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,40,42
Male,69,2,manager or administrator,NSW,separated or divorced,3.37,Q1,4.33,3.07,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,40,42
Male,28,6,manager or administrator,NSW,living with a partner,3.63,Q2,2.87,3.20,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,42,52
Male,28,2,manager or administrator,NSW,living with a partner,3.13,Q1,3.00,2.65,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,42,60
Female,32,3,manager or administrator,QLD,single,3.70,Q2,3.67,3.58,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,yes,yes,yes,43,54
Male,46,6,manager or administrator,NT,living with a partner,4.43,Q4,4.00,3.83,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,yes,43,60
Male,20,7,sales,VIC,single,3.83,Q3,3.67,2.48,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,43,45
Female,56,8,professional,QLD,married,4.20,Q3,4.20,3.62,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,43,41
Male,57,8,professional,VIC,separated or divorced,3.13,Q1,2.80,4.44,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,44,50
Male,64,6,retired,NSW,separated or divorced,4.53,Q4,4.13,3.73,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,yes,44,46
Female,23,7,sales,NSW,living with a partner,3.83,Q3,3.87,2.63,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,46,51
Female,62,7,Clerical or service worker,SA,living with a partner,3.80,Q2,3.13,2.80,yes,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,46,46
Male,54,8,professional,QLD,married,3.53,Q2,3.13,3.16,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,46,56
Male,68,4,retired,VIC,living with a partner,3.47,Q2,3.93,3.03,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,46,55
Female,55,2,home-duties,NSW,married,3.83,Q3,4.60,2.59,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,47,52
Male,62,7,professional,VIC,married,3.83,Q3,4.47,3.29,yes,yes,yes,yes,no,yes,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,yes,47,59
Female,51,7,Clerical or service worker,ACT,living with a partner,1.73,Q1,2.67,3.00,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,48,51
Female,60,2,home-duties,SA,living with a partner,4.33,Q4,3.60,4.12,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,yes,no,yes,48,59
Female,30,7,professional,WA,married,3.57,Q2,3.87,1.87,yes,yes,no,no,no,no,yes,yes,no,no,no,no,yes,no,yes,no,no,yes,no,no,48,50
Female,62,1,home-duties,VIC,married,4.10,Q3,4.00,3.71,yes,no,no,no,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,48,48
Male,48,1,small business owner,NSW,married,3.50,Q2,3.27,3.05,yes,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,no,no,yes,48,59
Male,54,1,transport worker,NSW,married,3.77,Q2,3.93,2.57,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,48,47
